,mono,pdc,cdc
11,GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP,GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP,GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP
12,GSE3982_NEUTROPHIL_VS_CENT_MEMORY_CD4_TCELL_UP,GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP,KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP
13,GSE34515_CD16_NEG_MONOCYTE_VS_DC_UP,GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP,GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP
14,GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_6H_UP,GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP,GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY
15,GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP,GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP,GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP
16,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_UP,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP,GSE28726_NAIVE_VS_ACTIVATED_VA24NEG_NKTCELL_UP
17,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_UP,GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY3_UP,GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP
18,GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP,GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP,GSE360_DC_VS_MAC_T_GONDII_UP
19,GSE42088_2H_VS_24H_LEISHMANIA_INF_DC_UP,GO_PROTEIN_N_LINKED_GLYCOSYLATION,GSE3337_4H_VS_16H_IFNG_IN_CD8POS_DC_UP
20,GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP,GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_PDC_UP,GSE24026_PD1_LIGATION_VS_CTRL_IN_ACT_TCELL_LINE_UP
21,GO_GRANULOCYTE_MIGRATION,GSE45365_WT_VS_IFNAR_KO_CD11B_DC_UP,GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP
22,GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP,GSE3982_BCELL_VS_NKCELL_UP,GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS
23,GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_UP,GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,GSE25087_FETAL_VS_ADULT_TCONV_UP
24,GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP,GSE44732_UNSTIM_VS_IL27_STIM_IMATURE_DC_UP
25,GSE9006_1MONTH_VS_4MONTH_POST_TYPE_1_DIABETES_DX_PBMC_UP,GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP,GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_HET_UP
26,GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_UP,GSE22886_NAIVE_BCELL_VS_DC_UP,GSE43955_1H_VS_60H_ACT_CD4_TCELL_UP
27,GSE3982_EOSINOPHIL_VS_BCELL_UP,GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP,GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_UP
28,GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP,GSE17301_CTRL_VS_48H_ACD3_ACD28_STIM_CD8_TCELL_UP,GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP
29,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_UP,GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH,GO_AEROBIC_RESPIRATION
30,GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_17H_UP,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP,GSE17721_0.5H_VS_24H_LPS_BMDC_UP
31,GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_A3R_INH_AND_TCELL_MEMBRANES_ACT_MAST_CELL_UP,GSE2585_CD80_HIGH_VS_LOW_MTEC_UP,GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_UP
32,GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_UP,GSE3982_DC_VS_NEUTROPHIL_LPS_STIM_UP,GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS
33,GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE29618_BCELL_VS_MDC_UP,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP
34,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_24H_CD4_TCELL_UP,GSE11057_CD4_CENT_MEM_VS_PBMC_UP,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TREATED_CD4_TCELL_UP
35,GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_IFNAR_KO_UP,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY6_EFFECTOR_CD8_TCELL_UP
36,GSE29618_BCELL_VS_PDC_UP,GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_UP,GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS
37,GSE3982_DC_VS_TH2_UP,GSE29615_DAY3_VS_DAY7_LAIV_FLU_VACCINE_PBMC_UP,GO_POSITIVE_REGULATION_OF_INSULIN_SECRETION
38,GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_UP,GO_CHONDROCYTE_DIFFERENTIATION,GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_UP
39,GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_UP,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP,GSE3982_DC_VS_NEUTROPHIL_UP
40,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_UP,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_UP,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_VA24NEG_NKTCELL_UP
41,GSE2706_2H_VS_8H_R848_STIM_DC_UP,GSE40273_GATA1_KO_VS_WT_TREG_UP,GSE29618_BCELL_VS_PDC_UP
42,GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP,GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP,GSE17721_0.5H_VS_24H_CPG_BMDC_UP
43,GSE3982_EOSINOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP,GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP,GO_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT
44,GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP,GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP,GSE23398_WT_VS_IL2_KO_CD4_TCELL_SCURFY_MOUSE_UP
45,GSE3982_MAC_VS_TH1_UP,GSE27786_CD4_TCELL_VS_NKCELL_UP,GSE22886_CTRL_VS_LPS_24H_DC_UP
46,GSE3982_NEUTROPHIL_VS_TH2_UP,GO_NERVE_DEVELOPMENT,GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_UP
47,GSE3982_NEUTROPHIL_VS_BCELL_UP,GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GSE27291_6H_VS_7D_STIM_GAMMADELTA_TCELL_UP
48,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GO_ERAD_PATHWAY,GO_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS
49,GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP,GO_ER_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_UP
50,GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE27786_CD8_TCELL_VS_NKCELL_UP,GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP
51,GSE17974_0H_VS_24H_IN_VITRO_ACT_CD4_TCELL_UP,GO_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_24H_UP
52,GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_COLON_TUMOR_UP,GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP,GSE16266_CTRL_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP
53,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP,GO_GLYCOLIPID_BIOSYNTHETIC_PROCESS,GO_NEURAL_NUCLEUS_DEVELOPMENT
54,GO_COMPLEMENT_ACTIVATION,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_UP,GSE360_DC_VS_MAC_M_TUBERCULOSIS_UP
55,GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP,GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS,GSE3039_CD4_TCELL_VS_B1_BCELL_UP
56,GSE3982_EOSINOPHIL_VS_NKCELL_UP,GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP,GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP
57,GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP,GSE19888_ADENOSINE_A3R_ACT_VS_A3R_ACT_WITH_A3R_INH_PRETREATMENT_IN_MAST_CELL_UP,GSE360_CTRL_VS_L_MAJOR_MAC_UP
58,GSE3982_MAC_VS_BCELL_UP,GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP,GO_NIK_NF_KAPPAB_SIGNALING
59,GSE22886_NEUTROPHIL_VS_DC_UP,GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_UP,GO_IMMUNOGLOBULIN_PRODUCTION
60,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_0.5H_CD4_TCELL_UP,GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP,GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP
61,GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_UP,GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP
62,GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP,GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_T425A_HEXON_INF_UP
63,GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP,GSE22886_DC_VS_MONOCYTE_UP,GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP
64,GO_ACUTE_INFLAMMATORY_RESPONSE,GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_STAT3_KO_CD4_TCELL_UP,GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP
65,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_UP,GSE11057_CD4_EFF_MEM_VS_PBMC_UP,GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP
66,GSE3982_DC_VS_TH1_UP,GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_UP,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP
67,GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP,GSE24210_TCONV_VS_TREG_UP,GSE34515_CD16_NEG_VS_POS_MONOCYTE_UP
68,GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP,GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA5_STIM_CD8_TCELL_UP,GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_UP
69,GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_4H_UP,GSE14308_TH2_VS_NATURAL_TREG_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_12H_BMDC_UP
70,GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_UP,GSE27786_LIN_NEG_VS_NEUTROPHIL_UP,GSE22886_DC_VS_MONOCYTE_UP
71,GSE3982_DC_VS_BCELL_UP,GO_AMMONIUM_TRANSPORT,GSE3982_BCELL_VS_NKCELL_UP
72,GSE3982_EOSINOPHIL_VS_BASOPHIL_UP,GSE27786_BCELL_VS_NKCELL_UP,GSE17721_ALL_VS_24H_PAM3CSK4_BMDC_UP
73,GO_MYELOID_LEUKOCYTE_ACTIVATION,GSE22886_NEUTROPHIL_VS_MONOCYTE_UP,GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP
74,GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_NOD_UP,GSE7400_CTRL_VS_CSF3_IN_VIVO_TREATED_PBMC_UP,GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_UP
75,GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP,GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP
76,GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_UP,GO_CRANIAL_SKELETAL_SYSTEM_DEVELOPMENT,GSE9960_GRAM_POS_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP
77,GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP,GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_UP
78,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_UP,GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP,GSE22601_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP
79,GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_UP,GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE5960_TH1_VS_ANERGIC_TH1_UP
80,GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_UP,GSE26928_EFF_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP,GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_UP
81,GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP,GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_UP,GO_MIDBRAIN_DEVELOPMENT
82,GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP,GO_O_GLYCAN_PROCESSING,GSE28726_ACT_CD4_TCELL_VS_ACT_VA24NEG_NKTCELL_UP
83,GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION,GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP,GSE2585_THYMIC_MACROPHAGE_VS_MTEC_UP
84,GSE41867_NAIVE_VS_DAY30_LCMV_CLONE13_EXHAUSTED_CD8_TCELL_UP,GSE3982_BCELL_VS_BASOPHIL_UP,GSE31082_DN_VS_DP_THYMOCYTE_UP
85,GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_6H_UP,GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_UP,GSE3982_MAC_VS_NEUTROPHIL_LPS_STIM_UP
86,GSE3982_EOSINOPHIL_VS_MAST_CELL_UP,GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_UP,GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP
87,GO_CELLULAR_DEFENSE_RESPONSE,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_UP,GSE17721_0.5H_VS_12H_POLYIC_BMDC_UP
88,GSE36392_EOSINOPHIL_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP,GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_UP,GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP
89,GSE15767_MED_VS_SCS_MAC_LN_UP,GO_BONE_MORPHOGENESIS,GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_UP
90,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_12H_CD4_TCELL_UP,GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP,GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP
91,GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_C57BL6_UP,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP,GSE17721_LPS_VS_GARDIQUIMOD_24H_BMDC_UP
92,GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_UP,GSE40273_EOS_KO_VS_WT_TREG_UP,GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP
93,GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP,GO_STEROL_TRANSPORT,GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP
94,GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP,GSE10325_CD4_TCELL_VS_MYELOID_UP,GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_UP
95,GO_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP,GSE27434_WT_VS_DNMT1_KO_TREG_UP
96,GSE23321_CENTRAL_MEMORY_VS_NAIVE_CD8_TCELL_UP,GO_LIMBIC_SYSTEM_DEVELOPMENT,GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP
97,GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP,GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP,GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP
98,GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_UP,GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,GO_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS
99,GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP,GSE1460_DP_VS_CD4_THYMOCYTE_UP,GSE42021_TREG_VS_TCONV_PLN_UP
100,GO_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,GSE41867_NAIVE_VS_DAY6_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP
101,GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_UP,GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_UP,GSE360_L_DONOVANI_VS_L_MAJOR_MAC_UP
102,GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_UP,GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP,GSE41867_DAY8_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_UP
103,GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_UP,GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_UP,GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_1DAY_STIMULATED_BCELL_UP
104,GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_UP,GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP,GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_UP
105,GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_OLD_UP,GSE7852_THYMUS_VS_FAT_TCONV_UP,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_UP
106,GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP,GSE45365_NK_CELL_VS_CD11B_DC_MCMV_INFECTION_UP,GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_UP
107,GSE2128_C57BL6_VS_NOD_CD4CD8_DP_THYMOCYTE_UP,GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP,GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP
108,GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_MAC_UP,GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_UP,GSE17721_0.5H_VS_4H_LPS_BMDC_UP
109,GSE360_L_DONOVANI_VS_T_GONDII_MAC_UP,GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP,GO_PROTEIN_LOCALIZATION_TO_MITOCHONDRION
110,GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_UP,GO_MITOTIC_SPINDLE_ORGANIZATION,GO_AMINO_ACID_ACTIVATION
111,GSE34156_UNTREATED_VS_24H_NOD2_AND_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP,GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_UP,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP
112,GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,GSE21927_SPLEEN_MONOCYTE_VS_GMCSF_GCSF_BONE_MARROW_UP,GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP
113,GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_UP,GSE22886_NAIVE_TCELL_VS_NKCELL_UP,GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP
114,GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_UP,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP,GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_UP
115,GO_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,GO_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION,GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_4H_UP
116,GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP,GO_CARBOHYDRATE_DERIVATIVE_TRANSPORT,GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_UP
117,GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE11924_TH1_VS_TH17_CD4_TCELL_UP,GO_THIOESTER_BIOSYNTHETIC_PROCESS
118,GSE3039_CD4_TCELL_VS_B2_BCELL_UP,GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS,GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP
119,GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS,GSE1448_CTRL_VS_ANTI_VALPHA2_DP_THYMOCYTE_UP,GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_UP
