,b,t
21,GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP,GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP
22,GSE17580_UNINFECTED_VS_S_MANSONI_INF_TEFF_UP,KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP
23,GSE28737_WT_VS_BCL6_KO_FOLLICULAR_BCELL_UP,GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP
24,GSE43863_LY6C_INT_CXCR5POS_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP,GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_UP
25,GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP,GSE17186_BLOOD_VS_CORD_BLOOD_CD21LOW_TRANSITIONAL_BCELL_UP
26,GSE22886_NAIVE_BCELL_VS_DC_UP,GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_UP
27,GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_NRAS_KO_CD4_TCELL_UP
28,GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_UP,GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_UP
29,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP,GSE11057_CD4_CENT_MEM_VS_PBMC_UP
30,GSE15767_MED_VS_SCS_MAC_LN_UP,GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP
31,GO_REGULATION_OF_B_CELL_PROLIFERATION,GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_UP
32,GSE36826_WT_VS_IL1R_KO_SKIN_UP,GSE7460_TCONV_VS_TREG_LN_UP
33,GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_UP,GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP
34,GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP,GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_UP
35,GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP,GSE7831_CPG_VS_INFLUENZA_STIM_PDC_1H_UP
36,GSE11961_MEMORY_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP
37,GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_UP,GSE31082_DP_VS_CD8_SP_THYMOCYTE_UP
38,GSE11057_PBMC_VS_MEM_CD4_TCELL_UP,GSE38304_MYC_NEG_VS_POS_GC_BCELL_UP
39,GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP,GSE32164_RESTING_DIFFERENTIATED_VS_ALTERNATIVELY_ACT_M2_MACROPHAGE_UP
40,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP,GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP
41,GSE40274_FOXP3_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP
42,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP,GSE7852_THYMUS_VS_FAT_TREG_UP
43,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_UP,GSE17186_MEMORY_VS_NAIVE_BCELL_UP
44,GSE20715_0H_VS_48H_OZONE_LUNG_UP,GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_UP
45,GO_POSITIVE_REGULATION_OF_INSULIN_SECRETION,GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP
46,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_FETAL_UP,GSE13493_DP_VS_CD4INTCD8POS_THYMOCYTE_UP
47,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP,GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_UP
48,GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP,GSE30962_ACUTE_VS_CHRONIC_LCMV_PRIMARY_INF_CD8_TCELL_UP
49,GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_UP,GSE40273_GATA1_KO_VS_WT_TREG_UP
50,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP,GSE40666_WT_VS_STAT4_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP
51,GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP,GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_COLON_TUMOR_UP
52,GO_B_CELL_PROLIFERATION,GSE30083_SP3_VS_SP4_THYMOCYTE_UP
53,GSE24210_RESTING_TREG_VS_TCONV_UP,GSE40443_INDUCED_VS_TOTAL_TREG_UP
54,GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP,GSE34006_UNTREATED_VS_A2AR_AGONIST_TREATED_TREG_UP
55,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_ADULT_UP,GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP
56,GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,GSE40666_WT_VS_STAT1_KO_CD8_TCELL_UP
57,GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP,GSE9650_NAIVE_VS_EFF_CD8_TCELL_UP
58,GSE3982_BCELL_VS_NKCELL_UP,GO_ALPHA_BETA_T_CELL_ACTIVATION
59,GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,GSE31082_DP_VS_CD4_SP_THYMOCYTE_UP
60,GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS
61,GSE27786_BCELL_VS_CD8_TCELL_UP,GSE15330_HSC_VS_PRO_BCELL_UP
62,GSE22432_CDC_VS_COMMON_DC_PROGENITOR_UP,GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP
63,GSE33292_DN3_THYMOCYTE_VS_TCF1_KO_TCELL_LYMPHOMA_UP,GSE30962_ACUTE_VS_CHRONIC_LCMV_SECONDARY_INF_CD8_TCELL_UP
64,GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP,GSE2128_C57BL6_VS_NOD_THYMOCYTE_UP
65,GO_LYMPHOCYTE_COSTIMULATION,GSE6674_ANTI_IGM_VS_CPG_STIM_BCELL_UP
66,GSE3039_CD4_TCELL_VS_B1_BCELL_UP,GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP
67,GSE20727_CTRL_VS_H2O2_TREATED_DC_UP,GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP
68,GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_UP,GSE43863_TH1_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP
69,GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_4H_UP,GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_UP
70,GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_UP,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP
71,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_UP,GSE13493_DP_VS_CD8POS_THYMOCYTE_UP
72,GSE28237_FOLLICULAR_VS_EARLY_GC_BCELL_UP,GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP
73,GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP,GSE16266_CTRL_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP
74,GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE11057_CD4_EFF_MEM_VS_PBMC_UP
75,GSE3982_DC_VS_TH2_UP,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_UP
76,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_FETAL_UP,GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_UP
77,GSE14350_IL2RB_KO_VS_WT_TEFF_UP,GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP
78,GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP,GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP
79,GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_6H_UP
80,GSE24142_DN2_VS_DN3_THYMOCYTE_UP,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_VA24NEG_NKTCELL_UP
81,GSE33425_CD161_HIGH_VS_NEG_CD8_TCELL_UP,GSE1448_ANTI_VALPHA2_VS_VBETA5_DP_THYMOCYTE_UP
82,GSE43863_TFH_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP,GSE27786_CD8_TCELL_VS_NKTCELL_UP
83,GO_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,GSE28726_ACT_CD4_TCELL_VS_ACT_VA24NEG_NKTCELL_UP
84,GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP,KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP
85,GSE7852_LN_VS_THYMUS_TCONV_UP,GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP
86,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP
87,GSE3039_B2_VS_B1_BCELL_UP,GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP
88,GSE557_CIITA_KO_VS_I_AB_KO_DC_UP,GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_48H_CD8_T_CELL_UP
89,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP,GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP
90,GSE7852_TREG_VS_TCONV_UP,GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_UP
91,GSE27670_BLIMP1_VS_LMP1_TRANSDUCED_GC_BCELL_UP,GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP
92,GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP,GSE22886_NAIVE_CD8_TCELL_VS_DC_UP
93,GSE27786_BCELL_VS_NKTCELL_UP,GSE6674_PL2_3_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP
94,GSE27786_BCELL_VS_CD4_TCELL_UP,GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS
95,GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP,GSE27786_LIN_NEG_VS_BCELL_UP
96,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_UP,GO_ELECTRON_TRANSPORT_CHAIN
97,GSE7852_TREG_VS_TCONV_LN_UP,GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP
98,GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_UP,GSE30083_SP1_VS_SP4_THYMOCYTE_UP
99,GSE41867_MEMORY_VS_EXHAUSTED_CD8_TCELL_DAY30_LCMV_UP,GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP
100,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_24H_UP,GSE14769_UNSTIM_VS_360MIN_LPS_BMDM_UP
101,GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_UP,GSE7764_NKCELL_VS_SPLENOCYTE_UP
102,GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP,GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP
103,GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP,GSE14308_TH17_VS_NATURAL_TREG_UP
104,GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_UP,GSE7831_UNSTIM_VS_CPG_STIM_PDC_1H_UP
105,GSE40274_FOXP3_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE17812_WT_VS_THPOK_KO_MEMORY_CD8_TCELL_UP
106,GSE2826_XID_VS_BTK_KO_BCELL_UP,GSE7852_THYMUS_VS_FAT_TCONV_UP
107,GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_UP,GSE26669_CD4_VS_CD8_TCELL_IN_MLR_UP
108,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP,GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP
109,GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP,GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_UP
110,GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_UP,GO_OXIDATIVE_PHOSPHORYLATION
111,GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_UP,GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS
112,GSE11961_PLASMA_CELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP,GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_UP
113,GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP,GSE6674_CPG_VS_PL2_3_STIM_BCELL_UP
114,GSE3982_EOSINOPHIL_VS_TH2_UP,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP
115,GO_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION,GSE27786_CD4_TCELL_VS_NKCELL_UP
116,GSE9650_EXHAUSTED_VS_MEMORY_CD8_TCELL_UP,GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_UP
117,GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_UP,GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP
118,GSE16385_ROSIGLITAZONE_VS_UNTREATED_IFNG_TNF_STIM_MACROPHAGE_UP,GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP
119,GSE24142_DN2_VS_DN3_THYMOCYTE_FETAL_UP,GSE27786_CD4_TCELL_VS_NKTCELL_UP
120,GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP,GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP
121,GO_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION,GSE15330_WT_VS_IKAROS_KO_LYMPHOID_MULTIPOTENT_PROGENITOR_UP
122,GO_REGULATION_OF_INTERLEUKIN_12_PRODUCTION,GSE1925_CTRL_VS_24H_IFNG_STIM_IFNG_PRIMED_MACROPHAGE_UP
123,GO_RESPONSE_TO_PH,GO_POSITIVE_REGULATION_OF_VIRAL_PROCESS
124,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_UP,GSE2585_THYMIC_MACROPHAGE_VS_MTEC_UP
125,GSE28237_FOLLICULAR_VS_LATE_GC_BCELL_UP,GSE31082_CD4_VS_CD8_SP_THYMOCYTE_UP
126,GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_UP,GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_UP
127,GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_UP,GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP
128,GSE3039_ALPHAALPHA_CD8_TCELL_VS_B2_BCELL_UP,GSE13229_IMM_VS_MATURE_NKCELL_UP
129,GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP,GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP
130,GSE17721_ALL_VS_24H_PAM3CSK4_BMDC_UP,GSE22886_NAIVE_TCELL_VS_DC_UP
131,GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP,GSE17721_POLYIC_VS_CPG_1H_BMDC_UP
132,GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP,GSE369_IFNG_KO_VS_WT_LIVER_UP
133,GSE14699_NAIVE_VS_ACT_CD8_TCELL_UP,GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_UP
134,GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_UP,GSE7460_TCONV_VS_TREG_THYMUS_UP
135,GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP,GO_CANONICAL_WNT_SIGNALING_PATHWAY
136,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_UP,GSE20727_CTRL_VS_ROS_INHIBITOR_TREATED_DC_UP
137,GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_UP,GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_UP
138,GSE40274_XBP1_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_UP
139,GSE3039_CD4_TCELL_VS_ALPHAALPHA_CD8_TCELL_UP,KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_UP
140,GSE4748_CTRL_VS_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP,GSE27786_CD8_TCELL_VS_MONO_MAC_UP
141,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_2H_UP,GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_UP
142,GSE3982_NEUTROPHIL_VS_NKCELL_UP,GSE411_WT_VS_SOCS3_KO_MACROPHAGE_UP
143,GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_4H_UP,GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_100MIN_UP
144,GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_UP,GSE7460_WT_VS_FOXP3_HET_ACT_TCONV_UP
145,GSE17580_TREG_VS_TEFF_S_MANSONI_INF_UP,GSE29949_CD8_POS_DC_SPLEEN_VS_DC_BRAIN_UP
146,GSE21380_NON_TFH_VS_TFH_CD4_TCELL_UP,GSE3982_MAST_CELL_VS_NKCELL_UP
147,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_6H_IFNA_STIM_UP,GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP
148,GSE17721_CPG_VS_GARDIQUIMOD_16H_BMDC_UP,GSE41867_DAY8_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_UP
149,GSE557_WT_VS_I_AB_KO_DC_UP,GSE22601_DOUBLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP
150,GSE43863_DAY6_EFF_VS_DAY150_MEM_TH1_CD4_TCELL_UP,GSE28726_NAIVE_VS_ACTIVATED_VA24NEG_NKTCELL_UP
151,GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_UP,GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_UP
152,GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_NOD_UP,GSE27786_LSK_VS_BCELL_UP
153,GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP,GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP
154,GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_UP
155,GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_UP,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP
156,GSE8515_IL1_VS_IL6_4H_STIM_MAC_UP,GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP
157,GSE15324_NAIVE_VS_ACTIVATED_CD8_TCELL_UP,GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_UP
158,GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP,GSE36527_CD62L_HIGH_CD69_NEG_VS_CD62L_LOW_CD69_POS_TREG_KLRG1_NEG_UP
159,GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_UP,GO_TERMINATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION
160,GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP,GSE16386_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_6H_UP
161,GO_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS,GO_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT
162,GSE24726_WT_VS_E2_2_KO_PDC_DAY4_POST_DELETION_UP,GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP
163,GSE3982_BASOPHIL_VS_TH2_UP,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP
164,GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_UP,GO_MITOTIC_SISTER_CHROMATID_SEGREGATION
165,GSE3982_MAC_VS_TH2_UP,GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP
166,GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP,GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP
167,GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TCONV_UP,GSE45365_WT_VS_IFNAR_KO_CD8A_DC_UP
168,GSE3039_ALPHABETA_CD8_TCELL_VS_B1_BCELL_UP,GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP
169,GSE3982_BCELL_VS_BASOPHIL_UP,GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_UP
170,GSE6674_CPG_VS_CPG_AND_ANTI_IGM_STIM_BCELL_UP,GSE27786_CD8_TCELL_VS_NKCELL_UP
171,GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP,GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP
172,GO_REGULATION_OF_TISSUE_REMODELING,GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP
173,GSE4535_BM_DERIVED_DC_VS_FOLLICULAR_DC_UP,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_UP
174,GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP
175,GSE40277_GATA1_AND_SATB1_TRANSDUCED_VS_CTRL_CD4_TCELL_UP,GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_UP
