,b,t,mono
34,GSE3982_BCELL_VS_TH2_UP,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP,GSE36826_WT_VS_IL1R_KO_SKIN_UP
35,GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP,GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP
36,GO_B_CELL_MEDIATED_IMMUNITY,GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_UP,GSE3982_DC_VS_TH2_UP
37,GSE3982_BCELL_VS_TH1_UP,GSE28726_NAIVE_VS_ACTIVATED_CD4_TCELL_UP,GO_GRANULOCYTE_MIGRATION
38,GSE40225_WT_VS_RIP_B7X_DIABETIC_MOUSE_PANCREATIC_CD8_TCELL_UP,GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP,GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_UP
39,GSE3982_BCELL_VS_BASOPHIL_UP,GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_CORD_BLOOD_UP,GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP
40,GSE22886_NAIVE_VS_IGG_IGA_MEMORY_BCELL_UP,GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP,GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP
41,GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP,GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP,GSE34515_CD16_NEG_MONOCYTE_VS_DC_UP
42,GSE20727_CTRL_VS_H2O2_TREATED_DC_UP,GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP,GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP
43,GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP,GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_OLD_UP,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_UP
44,KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP,GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_UP,GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP
45,GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,GSE17301_CTRL_VS_48H_ACD3_ACD28_STIM_CD8_TCELL_UP,GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP
46,GSE43863_LY6C_INT_CXCR5POS_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP,GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP,GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP
47,GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_UP,GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_6H_UP,GO_REGULATION_OF_MAST_CELL_ACTIVATION
48,GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP,GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP,GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP
49,GSE36826_WT_VS_IL1R_KO_SKIN_UP,GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP,GSE360_CTRL_VS_L_DONOVANI_MAC_UP
50,GO_B_CELL_DIFFERENTIATION,GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_UP,GSE27670_BLIMP1_VS_LMP1_TRANSDUCED_GC_BCELL_UP
51,GO_LYMPHOCYTE_COSTIMULATION,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP
52,GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_UP,GSE7400_CTRL_VS_CSF3_IN_VIVO_TREATED_PBMC_UP,GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP
53,GSE29618_PDC_VS_MDC_UP,GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP,GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP
54,GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_UP,GSE3982_MEMORY_CD4_TCELL_VS_TH2_UP,GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_4H_UP
55,GO_POSITIVE_REGULATION_OF_INSULIN_SECRETION,GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH1_UP,GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP
56,KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP,GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_UP
57,GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP,GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_UP,GO_RESPONSE_TO_FUNGUS
58,GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP,GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP,GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP
59,GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_UP,GSE17186_BLOOD_VS_CORD_BLOOD_CD21LOW_TRANSITIONAL_BCELL_UP,GSE3982_EOSINOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP
60,GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_UP,GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP,GSE22886_CTRL_VS_LPS_24H_DC_UP
61,GSE22886_NAIVE_VS_MEMORY_TCELL_UP,GSE27786_CD4_TCELL_VS_NKCELL_UP,GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_UP
62,GSE12366_GC_VS_MEMORY_BCELL_UP,GSE17301_IFNA2_VS_IFNA5_STIM_ACD3_ACD28_ACT_CD8_TCELL_UP,GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_6H_UP
63,GSE360_DC_VS_MAC_T_GONDII_UP,GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP,GSE3982_EOSINOPHIL_VS_BASOPHIL_UP
64,GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP,GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_UP,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_UP
65,GSE21927_SPLEEN_MONOCYTE_VS_GMCSF_GCSF_BONE_MARROW_UP,GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_UP,GO_OXIDATIVE_PHOSPHORYLATION
66,GSE9650_EXHAUSTED_VS_MEMORY_CD8_TCELL_UP,GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP,GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_UP
67,GO_REGULATION_OF_B_CELL_PROLIFERATION,GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP,GSE45365_NK_CELL_VS_BCELL_MCMV_INFECTION_UP
68,GSE22886_IL2_VS_IL15_STIM_NKCELL_UP,GO_ALPHA_BETA_T_CELL_ACTIVATION,GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_COLON_TUMOR_UP
69,GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP,GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP,GSE24142_DN2_VS_DN3_THYMOCYTE_UP
70,GO_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS,GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP,GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP
71,GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP,GSE45365_WT_VS_IFNAR_KO_CD11B_DC_UP,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP
72,GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_UP,GSE24574_NAIVE_VS_TCONV_CD4_TCELL_UP,GSE3982_MAC_VS_EFF_MEMORY_CD4_TCELL_UP
73,GO_LEUKOCYTE_PROLIFERATION,GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION
74,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP,GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP,GO_MYELOID_LEUKOCYTE_ACTIVATION
75,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP,GSE24634_NAIVE_CD4_TCELL_VS_DAY7_IL4_CONV_TREG_UP,GSE18893_TCONV_VS_TREG_24H_CULTURE_UP
76,GSE7460_TREG_VS_TCONV_ACT_WITH_TGFB_UP,GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE19401_UNSTIM_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_UP
77,GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_UP,GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_UP,GSE9960_HEALTHY_VS_GRAM_NEG_SEPSIS_PBMC_UP
78,GSE11961_MEMORY_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP,GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP,GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_UP
79,GSE45365_NK_CELL_VS_CD11B_DC_MCMV_INFECTION_UP,GSE30962_ACUTE_VS_CHRONIC_LCMV_PRIMARY_INF_CD8_TCELL_UP,GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_UP
80,GSE14350_IL2RB_KO_VS_WT_TEFF_UP,GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_UP
81,GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_UP,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_ADULT_UP
82,GSE10325_BCELL_VS_LUPUS_BCELL_UP,GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP,GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP
83,GO_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION,GSE17186_MEMORY_VS_NAIVE_BCELL_UP,GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP
84,GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_UP,GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_UP,GO_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY
85,GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_UP,GSE17301_IFNA2_VS_IFNA2_AND_ACD3_ACD28_STIM_CD8_TCELL_UP,GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_UP
86,GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION,GSE7831_CPG_VS_INFLUENZA_STIM_PDC_1H_UP,GSE3982_MAC_VS_TH1_UP
87,GO_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_UP,GSE7509_DC_VS_MONOCYTE_UP
88,GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_UP,GSE32986_UNSTIM_VS_GMCSF_STIM_DC_UP,GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_UP
89,GSE22886_NAIVE_CD4_TCELL_VS_MEMORY_TCELL_UP,GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP,GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP
90,GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_UP,GSE20727_H2O2_VS_ROS_INHIBITOR_TREATED_DC_UP,GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP
91,GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_UP,GSE22601_DOUBLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP,GSE24726_WT_VS_E2_2_KO_PDC_DAY4_POST_DELETION_UP
92,GO_DNA_STRAND_ELONGATION,GO_NATURAL_KILLER_CELL_ACTIVATION,GO_ELECTRON_TRANSPORT_CHAIN
93,GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_UP,GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP,GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP
94,GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_UP,GSE411_UNSTIM_VS_100MIN_IL6_STIM_MACROPHAGE_UP
95,GSE28237_FOLLICULAR_VS_EARLY_GC_BCELL_UP,GSE40068_CXCR5POS_BCL6POS_TFH_VS_CXCR5NEG_BCL6NEG_CD4_TCELL_UP,GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP
96,GSE3203_HEALTHY_VS_INFLUENZA_INFECTED_LN_BCELL_UP,GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP,GSE17322_CD103_POS_VS_CD11B_HIGH_LUNG_DC_UP
97,GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP,GSE6674_ANTI_IGM_VS_CPG_STIM_BCELL_UP,GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_2H_UP
98,GSE24142_ADULT_VS_FETAL_EARLY_THYMIC_PROGENITOR_UP,GSE24026_PD1_LIGATION_VS_CTRL_IN_ACT_TCELL_LINE_UP,GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_UP
99,GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,GSE24634_NAIVE_CD4_TCELL_VS_DAY10_IL4_CONV_TREG_UP,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_UP
100,GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_CTRL_CD4_TCELL_UP,GSE14350_TREG_VS_TEFF_IN_IL2RB_KO_UP,GSE3982_MAC_VS_NKCELL_UP
101,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_UP,GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_WT_CD4_TCELL_UP,GSE9006_1MONTH_VS_4MONTH_POST_TYPE_1_DIABETES_DX_PBMC_UP
102,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_UP,GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_UP,GO_COMPLEMENT_ACTIVATION
103,GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP,GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_FETAL_UP
104,GSE16385_ROSIGLITAZONE_VS_UNTREATED_IFNG_TNF_STIM_MACROPHAGE_UP,GSE3982_MAST_CELL_VS_MAC_UP,GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP
105,GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_2H_UP,GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_UP,GO_REGULATION_OF_PHAGOCYTOSIS
106,GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_UP,GO_RIBOSOME_ASSEMBLY,GSE16697_CD4_TCELL_VS_TFH_CD4_TCELL_UP
107,GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_3H_UP,GSE9650_NAIVE_VS_EFF_CD8_TCELL_UP,GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_UP
108,GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP,GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP,GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY
109,GSE3982_DC_VS_MAC_UP,GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP,GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP
110,GSE15324_NAIVE_VS_ACTIVATED_CD8_TCELL_UP,GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_UP,GSE36826_NORMAL_VS_STAPH_AUREUS_INF_SKIN_UP
111,GSE11961_PLASMA_CELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP,GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_UP,GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP
112,GSE13306_RA_VS_UNTREATED_TCONV_UP,GSE15659_NAIVE_CD4_TCELL_VS_NONSUPPRESSIVE_TCELL_UP,GSE3982_NEUTROPHIL_VS_TH2_UP
113,GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_UP,GSE7852_THYMUS_VS_FAT_TREG_UP,GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_NOD_UP
114,GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP,GSE3982_MAST_CELL_VS_DC_UP,GSE3982_DC_VS_BCELL_UP
115,GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_UP,GSE17301_CTRL_VS_48H_IFNA2_STIM_CD8_TCELL_UP,KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP
116,GSE25088_CTRL_VS_IL4_STIM_MACROPHAGE_UP,GO_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY,GSE43955_1H_VS_10H_ACT_CD4_TCELL_UP
117,GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP,KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_UP,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_3H_UP
118,GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP,GO_REGULATION_OF_RNA_SPLICING,GSE2585_CTEC_VS_MTEC_THYMUS_UP
